Epoch,Filename,True Label,Predicted Label
1,P004_shoulder_abduction_right_062,shoulder_abduction_right,shoulder_abduction_left
1,P004_elbow_flexion_left_018,elbow_flexion_left,shoulder_forward_elevation
1,P006_shoulder_flexion_right_118,shoulder_flexion_right,elbow_flexion_left
1,P002_shoulder_abduction_left_010,shoulder_abduction_left,shoulder_forward_elevation
1,P001_shoulder_abduction_left_001,shoulder_abduction_left,shoulder_abduction_right
1,P001_shoulder_backward_left_037,shoulder_backward_left,elbow_flexion_left
1,P006_shoulder_backward_left_002,shoulder_backward_left,shoulder_backward_right
1,P006_shoulder_flexion_left_022,shoulder_flexion_left,shoulder_forward_elevation
1,P001_elbow_flexion_left_029,elbow_flexion_left,elbow_flexion_right
1,P002_shoulder_backward_right_074,shoulder_backward_right,shoulder_backward_left
1,P003_shoulder_flexion_right_022,shoulder_flexion_right,elbow_flexion_right
1,P002_shoulder_flexion_right_057,shoulder_flexion_right,shoulder_forward_elevation
1,P002_shoulder_flexion_left_089,shoulder_flexion_left,shoulder_forward_elevation
1,P006_shoulder_flexion_right_029,shoulder_flexion_right,shoulder_forward_elevation
1,P002_shoulder_abduction_right_023,shoulder_abduction_right,shoulder_abduction_left
1,P001_shoulder_abduction_right_060,shoulder_abduction_right,shoulder_abduction_left
1,P001_shoulder_backward_right_097,shoulder_backward_right,shoulder_backward_left
1,P004_shoulder_abduction_right_046,shoulder_abduction_right,shoulder_forward_elevation
1,P002_shoulder_backward_left_035,shoulder_backward_left,shoulder_backward_right
1,P004_elbow_flexion_left_040,elbow_flexion_left,elbow_flexion_right
1,P002_shoulder_abduction_right_016,shoulder_abduction_right,shoulder_abduction_left
1,P006_shoulder_backward_right_017,shoulder_backward_right,shoulder_backward_left
1,P004_shoulder_flexion_right_085,shoulder_flexion_right,shoulder_flexion_left
1,P006_shoulder_flexion_left_111,shoulder_flexion_left,shoulder_abduction_left
1,P002_shoulder_flexion_left_107,shoulder_flexion_left,shoulder_forward_elevation
1,P003_shoulder_abduction_left_034,shoulder_abduction_left,shoulder_forward_elevation
1,P002_shoulder_abduction_right_062,shoulder_abduction_right,shoulder_forward_elevation
1,P004_elbow_flexion_left_063,elbow_flexion_left,elbow_flexion_right
1,P006_shoulder_backward_left_060,shoulder_backward_left,shoulder_backward_right
1,P006_elbow_flexion_right_078,elbow_flexion_right,elbow_flexion_left
1,P001_shoulder_flexion_left_069,shoulder_flexion_left,shoulder_abduction_left
