fold,epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr,is_best
5,1,561.335631,115.479674,32.4279,41.9732,39.7297,0.001,1
5,2,453.411588,122.392979,45.1734,38.4615,34.6464,0.001,0
5,3,420.123049,121.394552,50.0209,43.4783,42.5128,0.001,1
5,4,393.543684,116.904958,55.2445,45.4849,44.0253,0.001,1
5,5,384.056819,106.146827,57.7518,52.6756,51.2545,0.001,1
5,6,376.252235,102.501303,59.6323,57.5251,54.5677,0.001,1
5,7,358.067022,94.754531,63.1843,64.5485,64.0083,0.001,1
5,8,345.117491,91.645374,66.8617,65.5518,64.1183,0.001,1
5,9,336.786159,88.552951,67.99,67.3913,67.3894,0.001,1
5,10,321.072605,90.353781,71.7509,64.3813,63.4101,0.001,0
5,11,315.917247,92.808367,72.7957,66.2207,65.0341,0.001,0
5,12,303.728694,87.122958,74.5926,70.2341,69.8531,0.001,1
5,13,294.708217,84.841776,77.0581,72.0736,71.8878,0.001,1
5,14,290.897106,86.193437,77.6431,71.2375,71.3203,0.001,0
5,15,275.782357,87.967912,81.4459,68.0602,67.5719,0.001,0
5,16,272.222868,84.129788,81.4877,73.7458,73.3602,0.001,1
5,17,258.713668,80.335944,85.2069,74.7492,74.4509,0.001,1
5,18,253.117024,86.491993,85.4994,75.0836,75.1623,0.001,1
5,19,246.77629,76.383438,87.4216,78.0936,77.6995,0.001,1
5,20,241.357798,80.472613,88.8842,75.2508,74.9932,0.001,0
5,21,233.586447,82.00482,89.4693,75.7525,76.1071,0.001,0
5,22,227.211229,83.891949,90.0961,74.4147,74.3834,0.001,0
5,23,223.740781,77.907885,90.8065,78.2609,78.1416,0.001,1
5,24,220.337491,78.725481,90.9319,77.0903,77.0091,0.001,0
5,25,217.218919,78.094359,91.6005,77.4247,77.3796,0.001,0
5,26,207.955248,79.24475,93.1049,75.4181,75.0973,0.001,0
5,27,205.174983,76.058883,93.6064,78.2609,78.1325,0.001,0
5,28,185.145464,72.839552,95.9883,81.6054,81.6376,0.0005,1
5,29,174.513229,72.610599,97.7016,80.1003,79.8979,0.0005,0
5,30,174.14113,69.910874,97.5345,83.1104,83.1227,0.0005,1
5,31,170.956909,71.176291,97.9106,81.2709,81.3955,0.0005,0
5,32,168.081614,70.491895,98.621,82.2742,82.3078,0.0005,0
5,33,166.226257,68.471164,98.2449,81.9398,82.0339,0.0005,0
5,34,164.653941,69.394205,98.7463,81.9398,81.8902,0.0005,0
5,35,159.485312,67.42045,98.9971,83.9465,83.9005,0.00025,1
5,36,156.339419,65.429071,99.3314,83.7793,83.7356,0.00025,0
5,37,155.664208,65.925832,99.5821,83.612,83.5834,0.00025,0
5,38,154.700332,65.110408,99.4985,84.9498,84.9154,0.00025,1
5,39,153.344614,65.909545,99.6657,84.6154,84.6415,0.00025,0
5,40,153.864467,65.888624,99.5821,84.2809,84.25,0.00025,0
5,41,153.062939,68.878431,99.5821,81.4381,81.4342,0.00025,0
5,42,152.754891,66.04501,99.6239,83.7793,83.7309,0.00025,0
5,43,150.658606,65.478203,99.7911,84.1137,84.086,0.000125,0
5,44,150.389325,65.674603,99.8746,84.9498,84.9786,0.000125,1
5,45,149.970037,65.686095,99.7911,85.786,85.7752,0.000125,1
5,46,149.526906,65.62145,99.8746,85.2843,85.2278,0.000125,0
5,47,149.176695,65.995021,99.8746,84.9498,84.9476,0.000125,0
5,48,149.001046,65.1968,99.9164,85.786,85.8124,0.000125,1
5,49,148.562187,65.710496,99.9164,84.7826,84.7845,0.000125,0
5,50,148.83078,66.988647,99.9164,84.7826,84.7148,0.000125,0
5,51,148.637981,66.051165,99.8328,85.1171,85.0971,0.000125,0
5,52,148.743061,65.645516,99.7911,83.9465,83.9461,0.000125,0
5,53,147.97875,65.581351,99.9582,84.2809,84.2919,6.25e-05,0
5,54,147.611477,65.54014,100.0,85.1171,85.0822,6.25e-05,0
5,55,147.851345,65.15461,99.9582,84.9498,84.9518,6.25e-05,0
5,56,147.841105,65.976106,99.9582,84.1137,84.1268,6.25e-05,0
5,57,148.014783,65.51401,99.8746,84.6154,84.5874,3.125e-05,0
5,58,147.270285,65.244167,100.0,84.6154,84.5869,3.125e-05,0
