Epoch,Filename,True Label,Predicted Label
1,P006_shoulder_flexion_left_061,shoulder_flexion_left,shoulder_flexion_right
1,P003_shoulder_backward_left_005,shoulder_backward_left,shoulder_forward_elevation
1,P001_shoulder_flexion_right_015,shoulder_flexion_right,shoulder_abduction_right
1,P006_elbow_flexion_right_002,elbow_flexion_right,shoulder_abduction_right
1,P001_shoulder_abduction_right_065,shoulder_abduction_right,shoulder_abduction_left
1,P001_elbow_flexion_right_106,elbow_flexion_right,shoulder_forward_elevation
1,P002_elbow_flexion_left_104,elbow_flexion_left,elbow_flexion_right
1,P001_shoulder_backward_right_048,shoulder_backward_right,shoulder_backward_left
1,P002_elbow_flexion_left_092,elbow_flexion_left,shoulder_abduction_right
1,P004_elbow_flexion_right_037,elbow_flexion_right,shoulder_abduction_right
1,P006_shoulder_backward_left_032,shoulder_backward_left,shoulder_backward_right
1,P004_shoulder_backward_right_065,shoulder_backward_right,shoulder_backward_left
1,P006_shoulder_backward_right_066,shoulder_backward_right,shoulder_backward_left
1,P004_elbow_flexion_right_043,elbow_flexion_right,elbow_flexion_left
1,P002_elbow_flexion_left_120,elbow_flexion_left,elbow_flexion_right
1,P004_shoulder_forward_elevation_048,shoulder_forward_elevation,shoulder_abduction_left
1,P006_shoulder_backward_right_039,shoulder_backward_right,shoulder_backward_left
1,P006_shoulder_backward_left_058,shoulder_backward_left,elbow_flexion_left
1,P001_shoulder_backward_left_023,shoulder_backward_left,shoulder_backward_right
1,P001_shoulder_abduction_left_106,shoulder_abduction_left,shoulder_forward_elevation
1,P001_shoulder_flexion_left_045,shoulder_flexion_left,shoulder_abduction_left
1,P003_shoulder_flexion_left_004,shoulder_flexion_left,shoulder_forward_elevation
1,P002_shoulder_backward_right_032,shoulder_backward_right,shoulder_backward_left
1,P002_elbow_flexion_right_082,elbow_flexion_right,elbow_flexion_left
1,P004_shoulder_abduction_right_001,shoulder_abduction_right,shoulder_abduction_left
1,P001_shoulder_backward_right_034,shoulder_backward_right,shoulder_backward_left
1,P006_shoulder_flexion_left_027,shoulder_flexion_left,shoulder_abduction_right
1,P004_elbow_flexion_left_017,elbow_flexion_left,elbow_flexion_right
1,P001_shoulder_abduction_right_112,shoulder_abduction_right,shoulder_abduction_left
