fold,epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr,is_best
3,1,558.393128,129.158241,30.8817,33.1104,27.1586,0.001,1
3,2,453.674254,108.943545,45.1734,47.3244,39.9101,0.001,1
3,3,420.65411,105.825847,49.4359,48.1605,41.1875,0.001,1
3,4,396.505556,112.221806,53.3222,50.6689,46.083,0.001,1
3,5,387.474729,94.176257,56.7071,58.3612,56.9511,0.001,1
3,6,368.481691,97.135033,59.883,58.8629,57.4329,0.001,1
3,7,353.56308,97.535658,61.9724,58.8629,58.3581,0.001,1
3,8,346.137845,90.674995,64.1036,63.7124,61.9517,0.001,1
3,9,328.936925,97.233872,69.4944,63.3779,60.9159,0.001,0
3,10,317.768466,91.189449,73.2135,66.8896,66.4167,0.001,1
3,11,308.76002,87.946722,74.6344,71.0702,70.9615,0.001,1
3,12,303.59331,89.088614,76.0134,69.5652,69.5474,0.001,0
3,13,286.492368,87.941595,79.3982,70.903,69.8186,0.001,0
3,14,274.780722,91.719517,81.1534,70.5686,70.5554,0.001,0
3,15,262.193181,80.193654,84.7054,75.4181,75.2657,0.001,1
3,16,259.542512,81.664339,84.1204,73.7458,73.6992,0.001,0
3,17,254.630519,77.683147,85.4576,76.4214,76.3365,0.001,1
3,18,242.039759,83.624266,87.3799,73.5786,73.4589,0.001,0
3,19,237.409608,78.888656,89.4275,74.5819,74.4469,0.001,0
3,20,229.595417,79.083046,89.8872,77.4247,77.5271,0.001,1
3,21,225.199404,80.740061,91.2662,77.4247,77.3304,0.001,0
3,22,220.037758,76.718135,92.102,77.4247,77.2583,0.001,0
3,23,217.147523,74.736736,91.893,79.5987,79.5487,0.001,1
3,24,213.038008,72.203107,92.4781,80.602,80.6495,0.001,1
3,25,207.62274,73.706344,93.5228,79.7659,79.6461,0.001,0
3,26,202.103585,77.561006,94.5257,77.9264,78.1367,0.001,0
3,27,198.709314,80.437326,95.1107,77.0903,76.7944,0.001,0
3,28,195.088672,72.38789,95.5286,79.5987,79.6471,0.001,0
3,29,179.428573,67.870393,97.3673,82.4415,82.454,0.0005,1
3,30,171.069972,67.484023,98.0777,82.107,82.1136,0.0005,0
3,31,170.420116,67.423517,98.4956,82.2742,82.1357,0.0005,0
3,32,166.021119,66.497757,98.9553,83.9465,83.951,0.0005,1
3,33,163.141296,67.738522,98.9553,83.1104,83.129,0.0005,0
3,34,165.479055,66.169103,98.7881,84.7826,84.7759,0.0005,1
3,35,162.39947,67.735024,99.3732,83.4448,83.3602,0.0005,0
3,36,161.500958,67.186571,99.0807,84.1137,84.1463,0.0005,0
3,37,159.827441,66.443932,99.3732,84.4482,84.4883,0.0005,0
3,38,158.69637,66.451477,99.415,85.1171,85.0424,0.0005,1
3,39,158.946585,65.237146,99.2478,84.7826,84.7271,0.0005,0
3,40,158.164717,66.312999,99.3314,83.612,83.586,0.0005,0
3,41,158.305933,65.948638,99.0389,84.9498,84.8412,0.0005,0
3,42,156.890169,66.650024,99.4985,83.1104,83.0484,0.0005,0
3,43,154.360409,65.156899,99.4985,85.1171,85.0752,0.00025,1
3,44,151.307511,63.78147,99.8328,85.2843,85.2485,0.00025,1
3,45,151.473596,63.746602,99.7493,84.7826,84.7809,0.00025,0
3,46,150.840236,64.07525,99.7493,84.4482,84.4575,0.00025,0
3,47,150.787427,64.977262,99.7493,83.7793,83.7833,0.00025,0
3,48,150.346392,63.951318,99.9164,84.4482,84.4145,0.00025,0
3,49,149.031721,63.491228,99.9164,85.1171,85.1436,0.000125,0
3,50,148.871507,64.080208,99.8746,84.6154,84.6331,0.000125,0
3,51,148.655924,64.094138,99.9582,85.4515,85.4462,0.000125,1
3,52,148.541392,64.122938,99.8328,84.7826,84.7957,0.000125,0
3,53,148.18453,64.468532,99.9582,83.7793,83.78,0.000125,0
3,54,148.427294,64.372018,99.9582,84.7826,84.7474,0.000125,0
3,55,148.271655,64.00379,99.9164,84.2809,84.2954,0.000125,0
3,56,147.835593,63.436341,99.9164,84.7826,84.7708,6.25e-05,0
3,57,147.842459,63.199913,99.9164,85.4515,85.4513,6.25e-05,1
3,58,147.568187,63.125026,99.9582,84.7826,84.7792,6.25e-05,0
3,59,147.394325,63.238901,100.0,84.9498,84.9388,6.25e-05,0
3,60,147.159573,63.14047,100.0,84.9498,84.9354,3.125e-05,0
3,61,147.232736,63.379688,100.0,84.6154,84.6148,3.125e-05,0
3,62,147.222035,63.536846,99.9582,85.2843,85.282,3.125e-05,0
3,63,147.071256,63.423228,100.0,84.6154,84.6148,3.125e-05,0
3,64,146.917384,63.386491,100.0,84.7826,84.7827,1.563e-05,0
3,65,146.965434,63.288823,100.0,84.9498,84.9429,1.563e-05,0
3,66,147.126544,63.48068,100.0,84.6154,84.6206,1.563e-05,0
3,67,147.167773,63.381932,99.9582,84.7826,84.7844,1.563e-05,0
