Epoch,Filename,True Label,Predicted Label
1,P001_elbow_flexion_right_038,elbow_flexion_right,elbow_flexion_left
1,P002_shoulder_backward_right_070,shoulder_backward_right,shoulder_backward_left
1,P001_elbow_flexion_right_107,elbow_flexion_right,elbow_flexion_left
1,P006_shoulder_forward_elevation_091,shoulder_forward_elevation,elbow_flexion_left
1,P006_shoulder_abduction_left_007,shoulder_abduction_left,shoulder_abduction_right
1,P002_elbow_flexion_right_105,elbow_flexion_right,elbow_flexion_left
1,P004_shoulder_forward_elevation_003,shoulder_forward_elevation,shoulder_abduction_right
1,P001_shoulder_flexion_left_104,shoulder_flexion_left,shoulder_abduction_right
1,P004_shoulder_flexion_right_087,shoulder_flexion_right,shoulder_abduction_right
1,P002_shoulder_forward_elevation_089,shoulder_forward_elevation,shoulder_abduction_right
1,P001_shoulder_flexion_right_018,shoulder_flexion_right,shoulder_abduction_right
1,P006_shoulder_backward_right_003,shoulder_backward_right,shoulder_backward_left
1,P001_shoulder_flexion_right_108,shoulder_flexion_right,shoulder_abduction_right
1,P003_shoulder_flexion_right_049,shoulder_flexion_right,shoulder_abduction_right
1,P004_shoulder_flexion_right_074,shoulder_flexion_right,shoulder_abduction_right
1,P004_shoulder_backward_right_023,shoulder_backward_right,shoulder_backward_left
1,P001_shoulder_flexion_right_078,shoulder_flexion_right,shoulder_abduction_left
1,P003_elbow_flexion_right_020,elbow_flexion_right,elbow_flexion_left
1,P004_shoulder_backward_right_005,shoulder_backward_right,elbow_flexion_left
1,P001_shoulder_backward_right_017,shoulder_backward_right,elbow_flexion_left
1,P006_elbow_flexion_right_037,elbow_flexion_right,elbow_flexion_left
1,P002_shoulder_flexion_left_082,shoulder_flexion_left,shoulder_abduction_right
1,P003_shoulder_flexion_left_025,shoulder_flexion_left,shoulder_abduction_left
1,P002_shoulder_backward_right_027,shoulder_backward_right,shoulder_backward_left
1,P003_shoulder_flexion_left_032,shoulder_flexion_left,shoulder_abduction_right
1,P002_shoulder_backward_right_106,shoulder_backward_right,shoulder_backward_left
1,P002_shoulder_backward_right_052,shoulder_backward_right,shoulder_backward_left
1,P004_elbow_flexion_right_025,elbow_flexion_right,elbow_flexion_left
1,P001_shoulder_backward_right_089,shoulder_backward_right,shoulder_backward_left
1,P004_elbow_flexion_right_087,elbow_flexion_right,elbow_flexion_left
1,P002_elbow_flexion_right_027,elbow_flexion_right,elbow_flexion_left
1,P002_shoulder_abduction_left_119,shoulder_abduction_left,shoulder_abduction_right
1,P004_shoulder_flexion_right_030,shoulder_flexion_right,shoulder_abduction_right
1,P001_shoulder_backward_right_039,shoulder_backward_right,shoulder_backward_left
1,P003_shoulder_forward_elevation_035,shoulder_forward_elevation,shoulder_abduction_right
1,P004_shoulder_backward_left_005,shoulder_backward_left,shoulder_backward_right
1,P002_shoulder_flexion_left_050,shoulder_flexion_left,shoulder_abduction_left
1,P002_shoulder_flexion_right_019,shoulder_flexion_right,shoulder_abduction_right
1,P001_shoulder_backward_right_078,shoulder_backward_right,elbow_flexion_left
1,P001_shoulder_backward_right_094,shoulder_backward_right,shoulder_backward_left
1,P006_shoulder_backward_right_095,shoulder_backward_right,shoulder_backward_left
1,P006_shoulder_forward_elevation_077,shoulder_forward_elevation,shoulder_abduction_right
1,P004_shoulder_forward_elevation_045,shoulder_forward_elevation,shoulder_abduction_right
1,P001_shoulder_flexion_right_065,shoulder_flexion_right,shoulder_abduction_right
1,P001_shoulder_abduction_right_002,shoulder_abduction_right,shoulder_abduction_left
1,P002_shoulder_abduction_right_106,shoulder_abduction_right,elbow_flexion_left
1,P004_shoulder_flexion_left_062,shoulder_flexion_left,shoulder_abduction_right
1,P004_shoulder_flexion_left_041,shoulder_flexion_left,shoulder_abduction_right
1,P006_shoulder_abduction_left_021,shoulder_abduction_left,shoulder_abduction_right
1,P004_shoulder_flexion_left_027,shoulder_flexion_left,shoulder_abduction_left
1,P002_elbow_flexion_right_116,elbow_flexion_right,elbow_flexion_left
1,P004_elbow_flexion_right_082,elbow_flexion_right,elbow_flexion_left
1,P006_shoulder_backward_right_020,shoulder_backward_right,shoulder_backward_left
1,P004_shoulder_flexion_right_084,shoulder_flexion_right,shoulder_abduction_right
1,P002_shoulder_forward_elevation_110,shoulder_forward_elevation,shoulder_abduction_right
1,P003_elbow_flexion_right_005,elbow_flexion_right,elbow_flexion_left
1,P002_shoulder_backward_right_077,shoulder_backward_right,shoulder_backward_left
1,P002_shoulder_flexion_left_096,shoulder_flexion_left,shoulder_abduction_right
1,P006_shoulder_backward_right_065,shoulder_backward_right,shoulder_backward_left
