fold,epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr,is_best
1,1,556.75913,115.36082,31.7308,44.2404,37.3489,0.001,1
1,2,459.310891,112.322293,44.0635,45.7429,42.7175,0.001,1
1,3,427.95871,101.649738,48.1187,53.5893,51.3204,0.001,1
1,4,407.213695,108.052859,51.5468,47.4124,45.4597,0.001,0
1,5,391.157659,101.071788,55.1839,54.0902,49.3082,0.001,0
1,6,376.48103,94.863325,59.0719,56.2604,53.6222,0.001,1
1,7,367.577711,90.923634,59.5318,62.7713,62.0075,0.001,1
1,8,354.529495,91.000208,63.587,62.7713,60.8027,0.001,0
1,9,340.461724,91.0098,66.388,65.1085,64.2857,0.001,1
1,10,328.849231,98.820898,68.2692,61.6027,57.6664,0.001,0
1,11,322.144863,90.544648,70.4431,66.4441,65.3559,0.001,1
1,12,309.55467,83.746751,73.1605,72.621,72.657,0.001,1
1,13,292.905156,79.336305,78.3445,73.7896,73.7814,0.001,1
1,14,280.724982,85.750465,79.7241,72.4541,72.4798,0.001,0
1,15,280.435378,88.021588,81.3545,72.9549,72.716,0.001,0
1,16,266.715025,78.597619,83.403,75.626,75.5751,0.001,1
1,17,261.567655,77.90098,83.9465,75.1252,74.9446,0.001,0
1,18,252.22722,76.495353,85.4515,78.6311,78.6526,0.001,1
1,19,245.823542,75.868371,86.8311,76.9616,76.5969,0.001,0
1,20,239.843816,78.76362,88.2525,76.9616,76.8593,0.001,0
1,21,234.306928,76.459375,88.2943,75.626,75.6591,0.001,0
1,22,230.139472,74.227565,89.7157,79.1319,78.8237,0.001,1
1,23,223.527785,76.42703,90.3846,76.9616,76.6589,0.001,0
1,24,220.008879,74.56298,91.1789,78.6311,78.5871,0.001,0
1,25,214.089197,80.93234,92.5167,76.9616,76.9666,0.001,0
1,26,210.051375,72.807711,93.5619,81.1352,81.1246,0.001,1
1,27,206.335957,73.581415,93.8963,79.1319,79.0181,0.001,0
1,28,201.865756,73.485666,93.4365,78.1302,77.7653,0.001,0
1,29,196.454868,70.154957,94.5652,79.6327,79.2936,0.001,0
1,30,198.11785,68.69174,94.6906,81.4691,81.4494,0.001,1
1,31,191.187744,68.629446,95.1087,81.4691,81.5442,0.001,1
1,32,192.533989,75.938938,95.1505,79.4658,79.5223,0.001,0
1,33,188.998276,71.335329,96.0702,81.4691,81.369,0.001,0
1,34,183.713837,70.445655,96.5719,82.6377,82.7199,0.001,1
1,35,183.353669,74.902915,96.6973,78.798,78.7758,0.001,0
1,36,181.29579,68.484946,96.8645,82.3038,82.2132,0.001,0
1,37,179.620656,68.013531,97.4916,82.3038,82.2258,0.001,0
1,38,176.53515,71.473801,97.6171,80.9683,81.0092,0.001,0
1,39,165.342909,66.242224,98.5368,82.8047,82.7724,0.0005,1
1,40,160.140777,64.456408,99.1221,83.4725,83.4834,0.0005,1
1,41,159.164668,63.137869,99.2475,86.1436,86.1363,0.0005,1
1,42,156.347878,63.261003,99.4147,85.3088,85.2463,0.0005,0
1,43,156.113076,65.550251,99.4147,83.8063,83.781,0.0005,0
1,44,154.354,64.234722,99.5819,83.1386,83.1486,0.0005,0
1,45,154.798841,67.257206,99.5401,83.3055,83.0217,0.0005,0
1,46,152.438146,64.53447,99.5819,83.1386,83.0884,0.00025,0
1,47,150.091542,63.118586,99.791,84.975,84.9342,0.00025,0
1,48,149.756739,62.098777,99.791,85.3088,85.2488,0.00025,0
1,49,149.344217,63.870722,99.8328,84.1402,84.1244,0.00025,0
1,50,148.194576,62.655799,99.9164,85.9766,85.9924,0.000125,0
1,51,148.458547,62.569742,99.9164,85.8097,85.7948,0.000125,0
